SURVEY NAME,FILE TYPE,FILE NAME,FILE FORMAT
"Armenia DHS-VI, Standard DHS, 2010",Men's Recode,AMMR61SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-VI, Standard DHS, 2010",Men's Recode,AMMR61SV.ZIP,SPSS dataset (.sav)
"Azerbaijan DHS-V, Standard DHS, 2006",Births Recode,AZBR52DT.ZIP,Stata dataset (.dta)
"Azerbaijan DHS-V, Standard DHS, 2006",Births Recode,AZBR52FL.ZIP,Flat ASCII data (.dat)
"Azerbaijan DHS-V, Standard DHS, 2006",Births Recode,AZBR52SD.ZIP,SAS dataset (.sas7bdat)
"Azerbaijan DHS-V, Standard DHS, 2006",Births Recode,AZBR52SV.ZIP,SPSS dataset (.sav)
"Azerbaijan DHS-V, Standard DHS, 2006",Children's Recode,AZKR52DT.ZIP,Stata dataset (.dta)
"Azerbaijan DHS-V, Standard DHS, 2006",Children's Recode,AZKR52FL.ZIP,Flat ASCII data (.dat)
"Azerbaijan DHS-V, Standard DHS, 2006",Children's Recode,AZKR52SD.ZIP,SAS dataset (.sas7bdat)
"Azerbaijan DHS-V, Standard DHS, 2006",Children's Recode,AZKR52SV.ZIP,SPSS dataset (.sav)
"Azerbaijan DHS-V, Standard DHS, 2006",Couples' Recode,AZCR52DT.ZIP,Stata dataset (.dta)
"Azerbaijan DHS-V, Standard DHS, 2006",Couples' Recode,AZCR52FL.ZIP,Flat ASCII data (.dat)
"Azerbaijan DHS-V, Standard DHS, 2006",Couples' Recode,AZCR52SD.ZIP,SAS dataset (.sas7bdat)
"Azerbaijan DHS-V, Standard DHS, 2006",Couples' Recode,AZCR52SV.ZIP,SPSS dataset (.sav)
"Azerbaijan DHS-V, Standard DHS, 2006",Household Member Recode,AZPR52DT.ZIP,Stata dataset (.dta)
"Azerbaijan DHS-V, Standard DHS, 2006",Household Member Recode,AZPR52FL.ZIP,Flat ASCII data (.dat)
"Azerbaijan DHS-V, Standard DHS, 2006",Household Member Recode,AZPR52SD.ZIP,SAS dataset (.sas7bdat)
"Azerbaijan DHS-V, Standard DHS, 2006",Household Member Recode,AZPR52SV.ZIP,SPSS dataset (.sav)
"Azerbaijan DHS-V, Standard DHS, 2006",Household Recode,AZHR52DT.ZIP,Stata dataset (.dta)
"Azerbaijan DHS-V, Standard DHS, 2006",Household Recode,AZHR52FL.ZIP,Flat ASCII data (.dat)
"Azerbaijan DHS-V, Standard DHS, 2006",Household Recode,AZHR52SD.ZIP,SAS dataset (.sas7bdat)
"Azerbaijan DHS-V, Standard DHS, 2006",Household Recode,AZHR52SV.ZIP,SPSS dataset (.sav)
"Azerbaijan DHS-V, Standard DHS, 2006",Individual Recode,AZIR52.ZIP,Hierarchical
"Azerbaijan DHS-V, Standard DHS, 2006",Individual Recode,AZIR52DT.ZIP,Stata dataset (.dta)
"Azerbaijan DHS-V, Standard DHS, 2006",Individual Recode,AZIR52FL.ZIP,Flat ASCII data (.dat)
"Azerbaijan DHS-V, Standard DHS, 2006",Individual Recode,AZIR52SD.ZIP,SAS dataset (.sas7bdat)
"Azerbaijan DHS-V, Standard DHS, 2006",Individual Recode,AZIR52SV.ZIP,SPSS dataset (.sav)
"Azerbaijan DHS-V, Standard DHS, 2006",Men's Recode,AZMR52.ZIP,Hierarchical
"Azerbaijan DHS-V, Standard DHS, 2006",Men's Recode,AZMR52DT.ZIP,Stata dataset (.dta)
"Azerbaijan DHS-V, Standard DHS, 2006",Men's Recode,AZMR52FL.ZIP,Flat ASCII data (.dat)
"Azerbaijan DHS-V, Standard DHS, 2006",Men's Recode,AZMR52SD.ZIP,SAS dataset (.sas7bdat)
"Azerbaijan DHS-V, Standard DHS, 2006",Men's Recode,AZMR52SV.ZIP,SPSS dataset (.sav)
"Bangladesh DHS-III, Standard DHS, 1993-94",Births Recode,BDBR31DT.ZIP,Stata dataset (.dta)
"Bangladesh DHS-III, Standard DHS, 1993-94",Births Recode,BDBR31FL.ZIP,Flat ASCII data (.dat)
"Bangladesh DHS-III, Standard DHS, 1993-94",Births Recode,BDBR31SD.ZIP,SAS dataset (.sas7bdat)
"Bangladesh DHS-III, Standard DHS, 1993-94",Births Recode,BDBR31SV.ZIP,SPSS dataset (.sav)
"Bangladesh DHS-III, Standard DHS, 1993-94",Children's Recode,BDKR31.ZIP,Hierarchical
"Bangladesh DHS-III, Standard DHS, 1993-94",Children's Recode,BDKR31DT.ZIP,Stata dataset (.dta)
"Bangladesh DHS-III, Standard DHS, 1993-94",Children's Recode,BDKR31FL.ZIP,Flat ASCII data (.dat)
"Bangladesh DHS-III, Standard DHS, 1993-94",Children's Recode,BDKR31SD.ZIP,SAS dataset (.sas7bdat)
"Bangladesh DHS-III, Standard DHS, 1993-94",Children's Recode,BDKR31SV.ZIP,SPSS dataset (.sav)
"Bangladesh DHS-III, Standard DHS, 1993-94",Couples' Recode,BDCR31.ZIP,Hierarchical
"Bangladesh DHS-III, Standard DHS, 1993-94",Couples' Recode,BDCR31DT.ZIP,Stata dataset (.dta)
"Bangladesh DHS-III, Standard DHS, 1993-94",Couples' Recode,BDCR31FL.ZIP,Flat ASCII data (.dat)
"Bangladesh DHS-III, Standard DHS, 1993-94",Couples' Recode,BDCR31SD.ZIP,SAS dataset (.sas7bdat)
"Bangladesh DHS-III, Standard DHS, 1993-94",Couples' Recode,BDCR31SV.ZIP,SPSS dataset (.sav)
"Bangladesh DHS-III, Standard DHS, 1993-94",Household Member Recode,BDPR31DT.ZIP,Stata dataset (.dta)
"Bangladesh DHS-III, Standard DHS, 1993-94",Household Member Recode,BDPR31FL.ZIP,Flat ASCII data (.dat)
"Bangladesh DHS-III, Standard DHS, 1993-94",Household Member Recode,BDPR31SD.ZIP,SAS dataset (.sas7bdat)
"Bangladesh DHS-III, Standard DHS, 1993-94",Household Member Recode,BDPR31SV.ZIP,SPSS dataset (.sav)
"Bangladesh DHS-III, Standard DHS, 1993-94",Household Recode,BDHR31.ZIP,Hierarchical
"Bangladesh DHS-III, Standard DHS, 1993-94",Household Recode,BDHR31DT.ZIP,Stata dataset (.dta)
"Bangladesh DHS-III, Standard DHS, 1993-94",Household Recode,BDHR31FL.ZIP,Flat ASCII data (.dat)
